load_name,container,pod,avg_cpu_cores,avg_cpu_millicores,avg_cpu_percent,max_cpu_cores,max_cpu_millicores,max_cpu_percent,avg_memory_gb,avg_memory_percent,max_memory_gb,max_memory_percent
high,tempo,tempo-simplest-0,7.814596991383348,7814.596991383348,95.07,10.045297727788377,10045.297727788377,95.37,3.3054480345352837,95.89,4.339084625244141,96.21
high,tempo-gateway,tempo-simplest-0,0.2674147756981013,267.41477569810127,3.25,0.3303067521547374,330.3067521547374,3.14,0.11170453610627548,3.24,0.13738632202148438,3.05
high,tempo-gateway-opa,tempo-simplest-0,0.1376192623328968,137.61926233289682,1.67,0.15719278197961187,157.19278197961188,1.49,0.02661746481190557,0.77,0.030323028564453125,0.67
high,tempo-query,tempo-simplest-0,8.102855974592833e-07,0.0008102855974592833,0.0,3.256770654782312e-06,0.003256770654782312,0.0,0.003350631050441576,0.1,0.00341033935546875,0.08
low,tempo,tempo-simplest-0,9.038483323551674,9038.483323551674,98.82,11.789939133171544,11789.939133171543,99.01,3.8939756310504414,97.1,5.724639892578125,97.45
low,tempo-gateway,tempo-simplest-0,0.07931720205951887,79.31720205951886,0.87,0.08702287879638954,87.02287879638953,0.73,0.09373639977496603,2.34,0.12469100952148438,2.12
low,tempo-gateway-opa,tempo-simplest-0,0.02815230853179542,28.15230853179542,0.31,0.03084719989501656,30.84719989501656,0.26,0.01791108172872792,0.45,0.020153045654296875,0.34
low,tempo-query,tempo-simplest-0,7.706786106989789e-07,0.0007706786106989789,0.0,2.1183094027825696e-06,0.0021183094027825695,0.0,0.004747971244480299,0.12,0.004749298095703125,0.08
medium,tempo,tempo-simplest-0,5.65082522068225,5650.82522068225,98.88,6.623274932045831,6623.2749320458315,98.83,3.0013471686321758,95.73,4.665645599365234,96.36
medium,tempo-gateway,tempo-simplest-0,0.050028981906148365,50.02898190614837,0.88,0.05797779937786288,57.97779937786289,0.87,0.10932242352029552,3.49,0.1502685546875,3.1
medium,tempo-gateway-opa,tempo-simplest-0,0.01406066950378912,14.06066950378912,0.25,0.02040087483657547,20.400874836575472,0.3,0.021390002706776493,0.68,0.02245330810546875,0.46
medium,tempo-query,tempo-simplest-0,1.3752347386020444e-07,0.00013752347386020446,0.0,2.750469477204089e-07,0.0002750469477204089,0.0,0.0032424097475798235,0.1,0.003307342529296875,0.07
very-high,tempo,tempo-simplest-0,3.4130487758224963,3413.0487758224963,94.05,4.8835557991817335,4883.555799181733,94.98,3.5186159714408545,95.68,4.575946807861328,96.19
very-high,tempo-gateway,tempo-simplest-0,0.14029449289631316,140.29449289631316,3.87,0.18217466000000002,182.17466000000002,3.54,0.12765345366104788,3.47,0.14435577392578125,3.03
very-high,tempo-gateway-opa,tempo-simplest-0,0.07580531270755146,75.80531270755147,2.09,0.07580531270755146,75.80531270755147,1.47,0.026230521824048912,0.71,0.03183746337890625,0.67
very-high,tempo-query,tempo-simplest-0,2.1265977668759883e-07,0.00021265977668759884,0.0,2.673728178345204e-07,0.0002673728178345204,0.0,0.0048127381697944975,0.13,0.00481414794921875,0.1
